Year,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Total
2016-2017,0.00,0.00,0.00,0.52,0.88,4.55,8.38,4.17,0.09,---,---,---,---
2015-2016,0.38,0.00,2.39,0.45,0.01,0.57,3.17,0.79,1.60,0.24,0.05,0.00,9.65
2014-2015,0.00,0.04,0.01,0.25,0.48,3.88,1.09,0.83,0.87,0.13,0.93,0.01,8.52
2013-2014,0.09,0.00,0.00,0.06,0.62,0.20,0.00,3.58,1.18,0.35,0.00,0.00,6.08
2012-2013,0.01,0.00,0.00,0.02,1.04,2.16,1.18,0.20,0.54,0.00,0.71,0.00,5.85
2011-2012,0.00,0.00,0.00,0.00,1.17,1.58,1.01,1.30,0.16,1.75,1.71,0.01,8.69
2010-2011,0.00,0.00,0.00,0.94,0.53,10.23,0.79,3.29,3.96,0.00,0.45,0.01,20.20
2009-2010,0.00,0.00,0.00,2.07,0.01,2.89,4.94,4.27,0.48,1.65,0.05,0.00,16.36
2008-2009,0.00,0.00,0.00,0.02,1.85,2.79,0.34,3.57,0.33,0.03,0.00,0.15,9.08
2007-2008,0.00,0.00,0.52,0.95,0.56,1.73,7.97,1.64,0.01,0.04,0.11,0.00,13.53
2006-2007,T,0.00,T,0.34,0.16,0.81,0.19,0.92,0.05,0.05,0.74,0.00,3.21
2005-2006,T,0.00,0.29,1.35,0.22,1.03,2.06,2.37,2.87,2.15,0.85,T,13.19
2004-2005,T,0.00,T,4.56,0.20,8.77,9.32,11.02,2.14,1.05,0.19,0.71,37.96
2003-2004,T,T,0.00,0.53,0.80,1.35,0.47,4.89,1.17,0.04,0.00,0.00,9.25
2002-2003,0.00,T,0.02,0.05,2.36,3.32,T,4.64,4.31,0.71,1.02,0.01,16.44
2001-2002,T,0.00,0.00,0.06,1.42,1.38,0.80,0.29,0.32,0.02,0.05,0.01,4.35
2000-2001,0.00,0.07,0.15,0.98,0.00,0.00,5.59,8.87,1.17,1.11,0.00,0.00,17.94
1999-2000,T,0.00,T,0.00,0.44,0.40,0.88,5.54,2.82,1.49,T,0.00,11.57
1998-1999,0.00,0.00,0.01,0.00,1.32,0.54,1.85,0.56,1.24,2.57,0.02,0.98,9.09
1997-1998,0.00,0.00,0.45,0.00,2.06,2.52,4.12,13.68,4.06,0.97,3.10,0.05,31.01
1996-1997,0.00,0.00,0.00,1.06,1.59,4.09,5.58,0.08,0.00,0.00,0.00,0.00,12.40
1995-1996,0.02,0.00,0.00,0.00,0.09,1.34,3.16,4.94,2.16,0.71,0.04,0.00,12.46
1994-1995,0.00,0.00,0.00,0.19,0.61,1.35,12.56,1.30,6.98,0.58,0.18,0.60,24.35
1993-1994,0.00,0.00,0.00,0.16,0.66,0.78,0.33,3.21,1.86,0.83,0.28,0.00,8.11
1992-1993,0.08,0.00,0.00,0.70,0.00,4.68,11.77,6.61,2.74,0.00,0.02,0.76,27.36
1991-1992,0.13,0.00,0.09,0.37,0.00,3.22,1.74,7.96,7.12,0.33,0.04,0.00,21.00
1990-1991,0.00,0.02,0.00,0.00,0.19,0.00,1.69,4.13,5.92,0.03,0.00,0.01,11.99
1989-1990,0.00,0.00,0.35,0.43,0.29,0.00,1.24,3.12,0.17,0.58,1.17,0.00,7.35
1988-1989,0.00,0.05,0.04,0.00,0.70,3.80,0.73,1.90,0.81,0.00,0.05,0.00,8.08
